Compound Name,SMILES Representation
"N,N'-Dibenzylquinazoline-2,4-diamine",['C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NCC4=CC=CC=C4']
N-Methyl-D-aspartic acid,"['CNC(CC(=O)O)C(=O)O', 'CN[C@H](CC(=O)O)C(=O)O']"
N6-methyladenosine,"['CNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O', 'CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O']"
NLG919,['C1CCC(CC1)C(CC2C3=CC=CC=C3C4=CN=CN24)O']
NSC-319726,['CC(=NNC(=S)N1CCC1)C2=CC=CC=N2']
NSC-405020,['CCCC(C)NC(=O)C1=CC(=C(C=C1)Cl)Cl']
NU-6027,['C1CCC(CC1)COC2=NC(=NC(=C2N=O)N)N']
NU-7026,['C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3']
NU-7441,['C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56']
NVP-BHG712,['CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C']
NVP-BSK805 2HCl,['C1CNCCC1N2C=C(C=N2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCOCC6)F.Cl.Cl']
NVP-BVU972,['CN1C=C(C=N1)C2=NN3C(=NC=C3CC4=CC5=C(C=C4)N=CC=C5)C=C2']
NVP-TAE226,['CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC']
Nabumetone,['CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC']
Nadifloxacin,['CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O']
Nafamostat mesylate,['CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N']
Nafcillin sodium,"['CCOC1=C(C2=CC=CC=C2C=C1)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]', 'CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+]']"
Naftopidil dihydrochloride,['COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O.Cl.Cl']
Nalfon,['CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O']
Naloxone hydrochloride,"['C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O.Cl', 'C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.Cl']"
Naltrexone hydrochloride,"['C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O.Cl', 'C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O.Cl']"
Nanchangmycin,"['CC1CC(C(OC1C2CC(C3(O2)C(C(CC(O3)C4(CCC5(O4)CC(C(C(O5)C(C)C=C(C)C(=O)C(C)CC(C)C(=O)[O-])C)O)C)OC6CCC(C(O6)C)OC)C)C)(CO)O)C.[Na+]', 'C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@]3(O2)[C@@H]([C@H](C[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)/C=C(\\C)/C(=O)[C@H](C)C[C@H](C)C(=O)[O-])C)O)C)O[C@@H]6CC[C@@H]([C@H](O6)C)OC)C)C)(CO)O)C.[Na+]']"
Naphazoline hydrochloride,['C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl']
Naringenin,['C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O']
Naringin,"['CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O', 'C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O']"
Naringin dihydrochalcone,"['CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)CO)O)O)O)O)O', 'C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)CO)O)O)O)O)O']"
Necrostatin-1,['CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32']
Nefopam hydrochloride,['CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3.Cl']
Neohesperidin,"['CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O', 'C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O']"
Nepafenac,['C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N']
Nicaraven,['CC(CNC(=O)C1=CN=CC=C1)NC(=O)C2=CN=CC=C2']
Nicardipine hydrochloride,['CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl']
Nicotine acid tartrate,['CN1CCCC1C2=CN=CC=C2.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O']
Nifedipine,['CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC']
Nifenazone,['CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3']
Nifuroxazide,"['C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])O', 'C1=CC(=CC=C1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-])O']"
Nilstat,"['CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O', 'C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O']"
Nimodipine,['CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC']
Nintedanib,['CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O']
Nitazoxanide,['CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]']
Nithiamide,['CC(=O)NC1=NC=C(S1)[N+](=O)[O-]']
Nms-873,['CC1=C(C=CC(=C1)OCC2=NN=C(N2C3=CN=CC=C3)SC4CCCC4)C5=CC=C(C=C5)S(=O)(=O)C']
Nobiletin,['COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC']
Nocodazole,['COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3']
Nodinitib-1,['CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3N=C2N']
Norepinephrine bitartrate,"['C1=CC(=C(C=C1C(CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O', 'C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O']"
Noscapine hydrochloride,"['CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3.Cl', 'CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3.Cl']"
Novobiocin sodium,"['CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O.[Na+]', 'CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O.[Na+]']"
Nps-2143,"['CC(C)(CC1=CC2=CC=CC=C2C=C1)NCC(COC3=C(C(=CC=C3)Cl)C#N)O', 'CC(C)(CC1=CC2=CC=CC=C2C=C1)NC[C@H](COC3=C(C(=CC=C3)Cl)C#N)O']"
Nutlin-3,['CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl']
Nvp-aew541,['C1CN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6']
Nvp-tae 684,['CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC']
OAC1,['C1=CC=C(C=C1)C(=O)NC2=NC=C3C(=C2)C=CN3']
ONC-201,['CC1=CC=CC=C1CN2C(=O)C3=C(CCN(C3)CC4=CC=CC=C4)N5C2=NCC5']
Obatoclax mesylate,"['CC1=CC(=C(N1)C=C2C(=CC(=C3C=C4C=CC=CC4=N3)N2)OC)C.CS(=O)(=O)O', 'CC1=CC(=C(N1)/C=C\\2/C(=C/C(=C/3\\C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O']"
Octopamine hydrochloride,['C1=CC(=CC=C1C(CN)O)O.Cl']
Odanacatib,"['CC(C)(CC(C(=O)NC1(CC1)C#N)NC(C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F', 'CC(C)(C[C@@H](C(=O)NC1(CC1)C#N)N[C@@H](C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F']"
Olanzapine,['CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C']
Oleanolic acid,"['CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C', 'C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O']"
Oligomycin A,"['CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C', 'CC[C@H]\\1CC[C@@H]2[C@@H]([C@@H]([C@H]([C@@]3(O2)CC[C@H]([C@H](O3)C[C@H](C)O)C)C)OC(=O)/C=C/[C@H]([C@@H]([C@H](C(=O)[C@H]([C@@H]([C@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C']"
Oligomycins,"['CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C', 'CC[C@@H]/1CC[C@H]2C(C([C@H]([C@@]3(O2)CC[C@H]([C@H](O3)CC(C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@H](C(=O)C([C@@H]([C@H](C(=O)[C@@]([C@@H]([C@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C']"
Olmesartan medoxomil,['CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O']
Olopatadine hydrochloride,"['CN(C)CCC=C1C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O.Cl', 'CN(C)CC/C=C\\1/C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O.Cl']"
Olsalazine sodium,['C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)[O-])C(=O)O)C(=O)O)[O-].[Na+].[Na+]']
Omnicef,"['C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O', 'C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\\O)/C3=CSC(=N3)N)SC1)C(=O)O']"
Onalespib,['CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C']
Ondansetron hydrochloride,['CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl']
Onx-0914,"['CC(C(=O)NC(CC1=CC=C(C=C1)OC)C(=O)NC(CC2=CC=CC=C2)C(=O)C3(CO3)C)NC(=O)CN4CCOCC4', 'C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)OC)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[C@]3(CO3)C)NC(=O)CN4CCOCC4']"
Org27569,['CCC1=C(NC2=C1C=C(C=C2)Cl)C(=O)NCCC3=CC=C(C=C3)N4CCCCC4']
Oridonin,"['CC1(CCC(C23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3)O)O)O)C', 'CC1(CC[C@@H]([C@]23[C@@H]1[C@@H]([C@]([C@]45[C@H]2CC[C@H]([C@H]4O)C(=C)C5=O)(OC3)O)O)O)C']"
Orotic acid,['C1=C(NC(=O)NC1=O)C(=O)O']
Orphenadrine citrate,['CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O']
Oseltamivir phosphate,"['CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC.OP(=O)(O)O', 'CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC.OP(=O)(O)O']"
Osthole,['CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C']
Otilonium Bromide,['CCCCCCCCOC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)OCC[N+](C)(CC)CC.[Br-]']
Oxcarbazepine,['C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N']
Oxeladin citrate,['CCC(CC)(C1=CC=CC=C1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O']
Oxfendazole,['COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3']
Oxybutynin chloride,['CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl']
Oxymatrine,"['C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-]', 'C1C[C@@H]2[C@H]3CCC[N+]4([C@H]3[C@@H](CCC4)CN2C(=O)C1)[O-]']"
Oxymetazoline hydrochloride,['CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl']
Oxymetholone,"['CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C', 'C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C']"
Oxytetracycline,"['CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O', 'C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O']"
Ozagrel hydrochloride,"['C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O.Cl', 'C1=CC(=CC=C1CN2C=CN=C2)/C=C/C(=O)O.Cl']"
P005091,['CC(=O)C1=CC(=C(S1)SC2=C(C(=CC=C2)Cl)Cl)[N+](=O)[O-]']
P22077,['CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-]']
PCI-34051,['COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO']
PD-123319,"['CC1=C(C=CC(=C1)CN2C=NC3=C2CC(N(C3)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)C(=O)O)N(C)C', 'CC1=C(C=CC(=C1)CN2C=NC3=C2C[C@H](N(C3)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)C(=O)O)N(C)C']"
PD-168393,['C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br']
PD-318088,['C1=CC(=C(C=C1I)F)NC2=C(C(=C(C=C2C(=O)NOCC(CO)O)Br)F)F']
PD128907 Hydrochloride,"['CCCN1CCOC2C1COC3=C2C=C(C=C3)O.Cl', 'CCCN1CCO[C@H]2[C@H]1COC3=C2C=C(C=C3)O.Cl']"
PD173074,['CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C']
PD98059,['COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2']
PDK1 inhibitor AR-12,['C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F']
PF-00562271 free base,['CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C']
PF-04217903,['C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1']
PF-04880594,['C1=CNC2=NC=C(C=C21)C3=NN(C=C3C4=NC(=NC=C4)NCCC#N)CC(F)F']
PF-3845,['C1CN(CCC1CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=CN=CC=C4']
PF-429242,"['CCN(CC)CC1=CC=C(C=C1)C(=O)N(CCC2=CC=CC=C2OC)C3CCNC3', 'CCN(CC)CC1=CC=C(C=C1)C(=O)N(CCC2=CC=CC=C2OC)[C@@H]3CCNC3']"
PF-431396,['CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C']
PF-4708671,['CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F']
PF-5274857,['CC1=CC(=C(N=C1)C2=CC(=NC=C2Cl)N3CCN(CC3)C(=O)CCS(=O)(=O)C)C']
PF-562271 besylate,['CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C.C1=CC=C(C=C1)S(=O)(=O)O']
PF-573228,['CS(=O)(=O)C1=CC=CC(=C1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)CC4']
PFI-1,['CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O']
PFT-alpha,['CC1=CC=C(C=C1)C(=O)CN2C3=C(CCCC3)SC2=N.Br']
PHA-680632,['CCC1=C(C(=CC=C1)CC)NC(=O)N2CC3=C(C2)NN=C3NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C']
PHA-767491,['C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3']
PHT-427,['CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)NC2=NN=CS2']
PI-103,['C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O']
PI3K inhibitor X,['CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=CC5=NSN=C5C=C4']
PIK-293,['CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=NC=NC(=C5C=N4)N']
PIK-294,['CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC=C6)O)N']
PIK-75 Hydrochloride,"['CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br.Cl', 'CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=CN=C3N2C=C(C=C3)Br.Cl']"
PIK-93,['CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO']
PJ34,['CN(C)CC(=O)NC1=CC2=C(C=C1)NC(=O)C3=CC=CC=C32']
PLX-4720,['CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F']
PNU-120596,['CC1=CC(=NO1)NC(=O)NC2=CC(=C(C=C2OC)OC)Cl']
PNU-74654,"['CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3', 'CC1=CC=C(O1)/C=N/NC(=O)C2=CC=CC=C2OC3=CC=CC=C3']"
PP1,['CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C']
PP121,['C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N']
PP242,['CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N']
PQ401,['CC1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=C(C=CC(=C3)Cl)OC']
PR-619,['C1=C(C(=NC(=C1SC#N)N)N)SC#N']
PRT062607 hydrochloride,"['C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N.Cl', 'C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N.Cl']"
PRX-08066 maleic acid,"['C1CN(CCC1NC2=C3C=C(SC3=NC=N2)Cl)CC4=CC(=C(C=C4)F)C#N.C(=CC(=O)O)C(=O)O', 'C1CN(CCC1NC2=C3C=C(SC3=NC=N2)Cl)CC4=CC(=C(C=C4)F)C#N.C(=C\\C(=O)O)\\C(=O)O']"
PX-12,['CCC(C)SSC1=NC=CN1']
Paeoniflorin,"['CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O', 'C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O']"
Paeonol,['CC(=O)C1=C(C=C(C=C1)OC)O']
Palbociclib hydrochloride,['CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C.Cl']
Palmatine chloride,['COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-]']
Pancuronium bromide,"['CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]', 'CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]']"
Pantothenic acid,"['CC(C)(CO)C(C(=O)NCCC(=O)O)O', 'CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O']"
Parmodulin 2,['CCCC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC=CC=C2Br']
Paroxetine hydrochloride,"['C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4.Cl', 'C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4.Cl']"
Parthenolide,"['CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C', 'C/C/1=C\\CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C']"
Pasiniazid,['C1=CC(=C(C=C1N)O)C(=O)O.C1=CN=CC=C1C(=O)NN']
Pefloxacin mesylate,['CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O']
Pelitinib,"['CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C', 'CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C']"
Penciclovir,['C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N']
Penfluridol,['C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F']
Penicillin G sodium,"['CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+]', 'CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+]']"
Pentamidine,['C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N']
Pepcid,"['C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N', 'C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N']"
Pergolide mesylate,"['CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O', 'CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O']"
Perifosine,['CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](CC1)(C)C']
Pha-665752,"['CC1=C(NC(=C1C(=O)N2CCCC2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O', 'CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O']"
Phenazopyridine hydrochloride,['C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl']
Phenformin hydrochloride,['C1=CC=C(C=C1)CCN=C(N)N=C(N)N.Cl']
Pheniramine maleate,"['CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O', 'CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2.C(=C\\C(=O)O)\\C(=O)O']"
Phenothiazine,['C1=CC=C2C(=C1)NC3=CC=CC=C3S2']
